# Constructed from biom file
OTU ID	sample_006A	sample_006B	sample_006C	sample_006X	sample_007A	sample_007B	sample_007C	sample_007X	sample_031A	sample_031B	sample_031C	sample_031X	sample_044A	sample_044B	sample_044C	sample_044X	sample_049A	sample_049B	sample_049C	sample_049X	sample_055A	sample_055B	sample_055C	sample_055X	sample_069A	sample_069B	sample_069C	sample_069X	sample_106A	sample_106B	sample_106C	sample_106X	sample_110A	sample_110B	sample_110C	sample_110X	sample_116A	sample_116B	sample_116C	sample_116X
cc96995713a479e5c3e684e9e852be7a	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	123612.0	78048.0	10115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d56ca28652a1b8b0c1495a60fa09ef5d	0.0	0.0	0.0	0.0	13116.0	14856.0	51976.0	3396.0	0.0	0.0	0.0	3676.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	19231.0	12908.0	0.0	3824.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	20.0	0.0	0.0	0.0	0.0
6b2cb3c6bfc6af19b167dfe8a82d9aeb	0.0	0.0	360.0	6390.0	3.0	0.0	35.0	7.0	26873.0	16071.0	6535.0	0.0	0.0	0.0	0.0	58.0	0.0	15.0	0.0	5.0	14.0	137.0	0.0	0.0	60.0	1373.0	0.0	0.0	14259.0	79.0	355.0	2098.0	0.0	1178.0	7479.0	3876.0	19.0	158.0	1301.0	161.0
d44110b18aadd886d847eee062c2c0dc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24553.0	9529.0	1981.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fc47ef9fee9c5df99cbe89cd04e68749	29939.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f14cc770406707b0c2649b195f0fca3b	29759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2e4a06078a654901ad35f13795820387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5325.0	11969.0	5856.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	283.0	0.0	57.0	0.0
61471b8cdef96608f68f01c3c6bb55ca	0.0	0.0	0.0	0.0	0.0	23069.0	302.0	161.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
e22220760aac65c0d0c86989d370d020	0.0	0.0	21571.0	20.0	0.0	0.0	0.0	0.0	607.0	225.0	50.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	7.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	4.0	2.0	0.0	147.0	0.0	1.0	0.0
6f3dd563c5f2c007f3cb0a45108d645d	17755.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
