Feature ID	Taxon	Confidence
898b1259a9bb69f8fee560e15e67d74b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Magnetospirillaceae; g__uncultured; s__	0.9998315013429504
84bdae1c250af9e8e690a7275372b15d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured; s__	0.7921508415081139
5d1725beef3d61b41155f4898c8b94ce	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__	0.9999908247239665
59f07f00b3fcade6126307a2c85f18e5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia; s__	0.9920456065384211
2c5221dc21210395fbd6e51eed7e4809	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Sporomusaceae; g__Sporomusa; s__	0.9999991669323609
5ca5cf1100244b6525cbc8d9f0804fba	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae	0.9997224640096417
b6ba3b891a832fb26ef1e361509bef07	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	0.9996230942691444
95faabd174c63961cafc6fc9435ca94d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidocella; s__	0.9999837962871129
53bdb4e77faf2ee275cd119114d9f4bd	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Acidisoma; s__	0.9985713854642257
3dc06da344d2f0f7c0d6a0112d95173b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__	0.9999797623415874
32ae0f077097900544a0b3af9cf12e07	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae	0.99989617392439
1ccf87fbe7cdb3f965d096b07a06dda3	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)	0.9999999966116169
ad70e309856a3300781e84f012dc7cce	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter; s__	0.9945518307230327
94e657461c093b72c2ece87f790b3862	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999864883244336
